conm,gvkey,datafqtr,bkvq,atq,ltq,cstkq,sic,saleq,isin,sedol,dup
SCA-SVENSKA CELLULOSA AB,012368,2018Q1,36117,58757,22513,2350,2400,4400,SE0000112724,B1VVGZ5,0
NORSK HYDRO ASA,012383,2018Q1,78991,158781,67657,2272,3350,39971,NO0005052605,B11HK39,0
ROYAL DUTCH SHELL PLC,012384,2018Q1,177001,410719,209406,696,2911,89235,GB00B03MLX29,B03MLX2,0
BARCLAYS PLC,012673,2018Q1,53824,1142200,1080570,22061,6020,,GB0031348658,3134865,0
INTL CONSOL AIRLINES GROUP,013145,2018Q1,,,,,4512,4691,ES0177542018,B5M6XQ7,0
BHP BILLITON GROUP (AUS),013312,2018Q1,58288,112582,50421,2243,1000,10889.5,AU000000BHP4,6144690,0
TELEFONICA SA,013683,2018Q1,-16716,114773,87554,17729,4812,12383,ES0178430E18,5732524,0
SAMSONITE INTERNATIONAL SA,013932,2018Q1,-1230.2383,5065.5718,3161.709,14.247,3100,888.229,LU0633102719,B4Q1532,0
BANCO SANTANDER SA,014140,2018Q1,76943,1438470,1333004,8068,6020,,ES0113900J37,5705946,0
TAT TECHNOLOGIES LTD,014229,2018Q1,86.727005,112.844,25.105,2.802,4581,24.357,IL0010827264,B0H5D20,0
ANSELL LTD,014242,2018Q1,520.49994,2561.7,998.79999,1071.4,3842,361.10001,AU000000ANN9,6286611,0
TEVA PHARMACEUTICALS,014538,2018Q1,-25677,69181,49079,54,2834,5065,IL0006290147,6882172,0
ELECTROLUX AB,014620,2018Q1,9869,89209,67462,1545,3630,27906,SE0000103814,B1KKBX6,0
NATIONAL AUSTRALIA BK,014802,2018Q1,46794,796068,743667,32782,6020,,AU000000NAB4,6624608,0
NAM TAI PROPERTY INC,014924,2018Q1,,272.26401,16.333,.377,6512,,VGG639071023,BLT1SH3,0
FIAT CHRYSLER AUTOMOBILES NV,015172,2018Q1,-2804,95626,73922,19,3711,27027,NL0010877643,BRJFWP3,0
BBVA,015181,2018Q1,43623,685441,633619,3267,6020,,ES0113211835,5501906,0
REPSOL SA,015319,2018Q1,24717,58190,28906,1556,2911,11015,ES0173516115,5669354,0
AKZO NOBEL NV,015334,2018Q1,3031,16583,10172,506,2851,2176,NL0000009132,5458314,0
WESTPAC BANKING,015362,2018Q1,50972,871855,809190,35168,6020,,AU000000WBC1,6076146,0
HSBC HLDGS PLC,015509,2018Q1,,2652123,2448561,195924,6020,,GB0005405286,0540528,0
ALM BRAND A/S,015513,2018Q1,4987,35454,30463,1655,6300,,DK0015250344,4350024,0
BNP PARIBAS,015532,2018Q1,92504,2150517,2045191,97543,6020,,FR0000131104,7309681,0
DNB ASA,015538,2018Q1,212583,2673026,2454888,16127,6020,,NO0010031479,4263304,0
NATIXIS,015547,2018Q1,17500,512400,491400,17700,6020,,FR0000120685,B1HDJL2,0
UNICREDIT SPA,015549,2018Q1,54535,823978,766087,55838,6020,,IT0005239360,BYMXPS7,0
DANSKE BANK AS,015552,2018Q1,152463,3538555,3378918,9368,6020,,DK0010274414,4588825,0
GREAT EASTERN HOLDINGS LTD,015565,2018Q1,7491.5986,82484.398,74965,152.7,6311,,SG1I55882803,6235000,0
DEUTSCHE BANK AG,015576,2018Q1,59274,1477735,1409710,5291,6020,,DE0005140008,5750355,0
ING GROEP NV,015617,2018Q1,49157,887020,836121,39,6199,,NL0011821202,BZ57390,0
PUBLIC BANK BHD,015632,2018Q1,36294.207,398203.66,359550.84,9417.6533,6020,,MYL1295OO004,B012W42,0
ROYAL BANK OF SCOTLAND GROUP,015634,2018Q1,43019,738509,688957,11993,6020,,GB00B7T77214,B7T7721,0
STOREBRAND ASA,015647,2018Q1,24920,569672,538532,2339,6311,,NO0003053605,4852832,0
SVENSKA HANDELSBANKEN,015654,2018Q1,121452,2963576,2831963,3013,6020,,SE0007100599,BXDZ9Q1,0
SKANDINAVISKA ENSKILDA BANK,015671,2018Q1,,2903264,2773068,21942,6020,,SE0000148884,4813345,0
MUNICH RE CO,015677,2018Q1,23570,267399,240208,7412,6311,,DE0008430026,5294121,0
LUZERNER KANTONALBANK,015678,2018Q1,,37039.004,34307.629,263.5,6020,,CH0011693600,7052275,0
UNITED OVERSEAS BANK LTD,015679,2018Q1,33925,364455,326390,4755,6020,,SG1M31001969,6916781,0
MALAYAN BANKING BHD,015688,2018Q1,69032.383,769554.44,694072.13,45451.586,6020,,MYL1155OO000,6556325,0
KBC GROUP NV,015703,2018Q1,17300,304022,285503,1456,6020,,BE0003565737,4497749,0
ALLIANZ SE,015724,2018Q1,52698,886787,820890,28900,6331,,DE0008404005,5231485,0
RHB BANK BHD,015742,2018Q1,19189.023,234640.97,212251.59,6994.103,6020,,MYL1066OO009,6244675,0
DBS GROUP HOLDINGS LTD,015743,2018Q1,45907,529909,478828,11200,6020,,SG1L01001701,6175203,0
CREDITO EMILIANO SPA,015745,2018Q1,2188.0513,42365.211,39769.977,332.392,6020,,IT0003121677,7135251,0
OVERSEA CHINESE BANKING,015753,2018Q1,36692,460573,418804,15083,6200,,SG1S04926220,B0F9V20,0
SELANGOR PROPERTIES BHD,015771,2018Q1,,2948.28,459.09201,545.37097,6500,,MYL1783OO009,6794040,0
SAMPO PLC,015773,2018Q1,11480,50611,37040,98,6331,,FI0009003305,5226038,0
SOCIETE GENERALE GROUP,015784,2018Q1,58500,1271900,1208400,58900,6020,,FR0000130809,5966516,0
GUOCO GROUP LTD,015840,2018Q1,9387.2471,16444.086,5883.4858,164.526,6799,,BMG420981224,6390363,0
ALANDSBANKEN AB,015883,2018Q1,220,5497,5260,42,6020,,FI0009001127,4012625,0
ANZ-AUSTRALIA & NEW ZEALD BK,015889,2018Q1,54162,935116,875616,27933,6020,,AU000000ANZ3,6065586,0
HONG LEONG FINANCIAL GP BHD,015921,2018Q1,23087.74,221451.39,195741.41,2267.0081,6020,,MYL1082OO006,6436450,0
HUFVUDSTADEN AB,015922,2018Q1,,41352.102,15980.7,25371.4,6512,,SE0000170375,4449137,0
CITY OF LONDON INVESTMENT TR,015927,2018Q1,,1644.713,131.386,86.196999,6726,,GB0001990497,0199049,0
LLOYDS BANKING GROUP PLC,015929,2018Q1,,805069,756415,43049,6020,,GB0008706128,0870612,0
GROWTHPOINT PROPERTIES LTD,016183,2018Q1,79934,131875,49627,45993,6798,,ZAE000179420,BBGB5W0,0
STOCKLAND,016189,2018Q1,10166,18867,8527,8884,6798,,AU000000SGP0,6850856,0
BRIOSCHI SVILUP IMMOBILIARE,016211,2018Q1,,330.47699,211.47701,117.41,6510,,IT0000066180,4124605,0
LEONARDO SPA,016267,2018Q1,,23204,19024,4165,3721,2451,IT0003856405,B0DJNG0,0
MAPFRE,016281,2018Q1,6978.499,69256.898,58931.199,308,6331,,ES0124244E34,B1G40S0,0
BANCA FINNAT EURAMERICA SPA,016296,2018Q1,220.34401,1595.561,1334.228,72.575996,6799,,IT0000088853,4883605,0
LATOUR INVESTMENT AB,016299,2018Q1,15300,28914,7432,133,9998,2590,SE0010100958,BZ404X1,0
METROVACESA SA,016346,2018Q1,,2572.8,169.7,2403.1001,6552,,ES0105122024,BFWVPW2,0
INTESA SANPAOLO SPA,016348,2018Q1,47222,792728,737834,8732,6020,,IT0000072618,4076836,0
ORESUND INVESTMENT,016352,2018Q1,,5932.1001,294.29999,5637.7998,6799,,SE0008321608,BYQP7X8,0
HYPROP INVESTMENTS,016356,2018Q1,,34657.078,9226.624,25350.57,6798,,ZAE000190724,BN8SXL8,0
LOCINDUS,016388,2018Q1,,,,,6162,,FR0000121352,7409105,0
CITYCON OYJ,016398,2018Q1,1993,4679,2475.3,259.60001,6512,,FI0009002471,4491097,0
STOLT NIELSEN LTD,016403,2018Q1,1510.246,4687.8721,3125.2771,64.150002,4412,515.27899,BMG850801025,B4PKZG3,0
CABLE & WIRELESS COMM PLC,016436,2018Q1,-1295.5996,6441.7002,5556.8999,.1,4813,589.29999,GB00B5KKT968,B5KKT96,0
AEDES SIIQ SPA,016446,2018Q1,309.14899,576.638,267.38901,309.64999,6552,,IT0005065849,BSKRVJ2,0
AGEAS SA/NV,016447,2018Q1,9279.4971,103396,92988.203,9876.5996,6311,,BE0974264930,B86S2N0,0
HOPEWELL HOLDINGS LTD,016591,2018Q1,,55413.969,4485.604,11197.829,6510,,HK0000051067,6140290,0
IQNOVATE LTD,016602,2018Q1,-13.854,7.9779,17.631001,10.5713,8731,1.1762,AU000000IQN5,B6QV4G2,0
AFRICAN RAINBOW MINERALS LTD,017315,2018Q1,24802,32525,7599,11,1000,2130,ZAE000054045,6041122,0
ASSOCIATED BRITISH FOODS PLC,017404,2018Q1,7231,12921,4063,45,2000,3711,GB0006731235,0673123,0
BOUSTEAD HOLDINGS BHD,017417,2018Q1,7775.8003,18519.5,9346.7998,2735.7,5099,2245,MYL2771OO003,6114659,0
ATLAS COPCO AB,017420,2018Q1,38598,134628,67037,67500,3560,21906,SE0011166610,BD97BN2,0
BASF SE,017436,2018Q1,23071,80453,44066,1176,2800,16646,DE000BASF111,5086577,0
ORIGIN ENERGY LTD,017525,2018Q1,5762,25402,14321,7150,1400,3631,AU000000ORG5,6214861,0
DAIMLER AG,017828,2018Q1,63451,262787,195900,3070,3711,39785,DE0007100000,5529027,0
GRAND BANKS YACHTS LTD,018472,2018Q1,36.986996,68.824997,22.871,43.044998,3730,21.318001,SG0504000043,6358275,0
DIAGEO PLC,018636,2018Q1,-1117,30102,18412,789,2085,3265,GB0002374006,0237400,0
KUALA LUMPUR KEPONG BHD,018753,2018Q1,12135.291,19744.896,7279.3052,1191.964,2070,5192.541,MYL2445OO004,6497446,0
NEW WORLD DEVELOPMENT CO LTD,019083,2018Q1,222811.39,468136.5,228260.91,76160.703,6500,,HK0017000149,6633767,0
TELECOM ITALIA SPA,019151,2018Q1,-12575,65968,42326,11587,4813,4709,IT0003497168,7634394,0
PPB GROUP BHD,019246,2018Q1,20815.727,22046.506,1146.626,1192.215,100,1145.1219,MYL4065OO008,6681669,0
SIEMENS AG,019349,2018Q1,6791,136056,90672,2550,9997,19823,DE0007236101,5727973,0
SUN HUNG KAI PROPERTIES LTD,019421,2018Q1,530585,679754,143919,70582,6500,,HK0016000132,6859927,0
SANDVIK AB,019591,2018Q1,36131,112616,58795,53794,3530,23685,SE0000667891,B1VQ252,0
RANK GROUP PLC,019613,2018Q1,-19.200012,730.5,336.60001,54.200001,7990,177.10001,GB00B1L5QH97,B1L5QH9,0
ORBITAL CORP LTD,019731,2018Q1,,33.250999,15.494,31.143999,3510,2.9184999,AU000000OEC2,6777171,0
SEMBCORP INDUSTRIES LTD,019774,2018Q1,7584.7378,22497.436,14342.551,565.57202,3730,2757.6509,SG1R50925390,B08X163,0
UOL GROUP LTD,019799,2018Q1,14157.545,19714.762,5387.1909,1553.812,7011,661.03601,SG1S83002349,6916844,0
SANTANDER UK PLC,021382,2018Q1,,310500,294200,15900,6020,,GB0000064393,0006439,0
GROUPE BRUXELLES LAMBERT,021408,2018Q1,,,,,6799,,BE0003797140,7097328,0
PMC-PAN MALAYSIA CORP BHD,021443,2018Q1,251.133,314.49399,12.971,221.959,2060,18.427999,MYL4081OO005,6668918,0
POHJOLA BANK PLC,021447,2018Q1,3202,63288,59316,428,6020,,FI0009003222,5665233,0
MALAYAN UTD INDS BHD,021455,2018Q1,802.83807,1893.801,1061.028,3152.866,5311,105.82,MYL3891OO008,6556756,0
LAFARGE MALAYSIA BHD,021456,2018Q1,1372.6349,4321.772,1533.2371,1950.692,3241,546.82898,MYL3794OO004,6556518,0
HAMBORNER REIT AG,022333,2018Q1,551.64703,1248.4041,696.24701,79.718002,6798,,DE0006013006,5735642,0
INDIVIOR PLC,022410,2018Q1,-208,1499,1600,73,2834,255,GB00BRS65X63,BRS65X6,0
TELEFONICA CHILE SA,022821,2018Q1,605558.31,1469068.1,799804.63,570535.44,4813,195593.78,CLP3058U1272,2162191,0
ELECTRA PRIVATE EQUITY PLC,023202,2018Q1,,429,4,9,6726,,GB0003085445,0308544,0
STRAUSS GROUP LTD,023290,2018Q1,1206,6273,4108,252,2000,1446,IL0007460160,6304115,0
UBM DEVELOPMENT AG,023456,2018Q1,464.14694,1128.725,661.84003,22.417,6500,,AT0000815402,B01R9Y6,0
INTL DE CERAMICA SA DE CV,023483,2018Q1,3517.3098,8089.9229,4536.373,531.479,3250,2439.874,MX01CE0A0015,B04QP08,0
ISRAEL LAND DEVELOPMENT CO,023489,2018Q1,1209.3251,4850.458,3600.6919,442.59,2711,251.63499,IL0006120104,6889708,0
UNIQA INSURANCE GROUP AG,023595,2018Q1,1621.5004,28970.1,25762.199,1789.9,6300,,AT0000821103,4422332,0
KONINKLIJKE AHOLD DELHAIZE,023667,2018Q1,3445,34344,19459,12,5411,14933,NL0011794037,BD0Q398,0
NOKIA CORP,023671,2018Q1,6958,39262,23388,246,3663,4924,FI0009000681,5902941,0
SENEX ENERGY LTD,023681,2018Q1,356.483,430.18201,72.918999,540.21301,1311,14.9215,AU000000SXY7,6929325,0
SAMSON OIL & GAS LTD,023999,2018Q1,,34.902199,33.349998,106.6276,1311,2.6354001,AU000000SSN0,6136589,0
AXXIS TECHNOLOGY GROUP LTD,024286,2018Q1,,.3003,.018999999,51.548199,3663,,AU000000AYG0,6884413,0
ASTRO RESOURCES NL,024433,2018Q1,,3.2941999,1.043,13.2556,1400,,AU000000ARO8,6060804,0
OCTODEC INVESTMENTS LTD,024446,2018Q1,,13197.773,5313.1729,4210.1338,6798,,ZAE000192258,BNB6YS3,0
COMMONWEALTH BANK AUSTRALIA,024512,2018Q1,57053,961930,895839,37002,6020,,AU000000CBA7,6215035,0
SWEDBANK AB,024578,2018Q1,105817,2469127,2346379,24904,6020,,SE0000242455,4846523,0
TOTAL SA,024625,2018Q1,99184,257016,133330,8207,2911,43292,FR0000120271,B15C557,0
GRUPO CARSO SA DE CV,024650,2018Q1,80614.445,117150.26,35335.402,644.31299,9997,21439.447,MXP461181085,2393452,0
VITRO SAB DE CV,024701,2018Q1,1090.28,2770.01,1331.778,378.85999,3220,557.646,MXP9802B1093,2931324,0
SIVENSA-SIDERURGICA VENEZOLA,024714,2018Q1,,3449807,437132,105,3312,,VEV001141002,2723747,0
TOPDANMARK AS,024826,2018Q1,5569,83940,77411,90,6300,,DK0060477503,B94P973,0
MMI HOLDINGS LTD,024946,2018Q1,12055,477808,454746,9,6311,,ZAE000149902,B4PXV75,0
DUTALAND BERHAD,025143,2018Q1,,1083.542,90.585999,423.05899,100,2.904,MYL3948OO006,B1V7KX9,0
DAISHIN SECURITIES CO,025249,2018Q1,1772510.8,17974772,16100787,254867,6211,,KR7003540002,6251200,0
NH INVESTMENT & SECURITIES,025251,2018Q1,4766134,46069420,41283368,1431920,6211,,KR7005940002,6537085,0
MIRAE ASSET DAEWOO CO LTD,025256,2018Q1,7466772.5,94931600,86851008,3331582,6211,,KR7006800007,6249658,0
KOREA EXCHANGE BANK,025258,2018Q1,22815856,328360832,305379232,5359578,6020,,KR7004940003,6495042,0
DGB FINANCIAL GROUP CO LTD,025259,2018Q1,4253690,58001180,53571264,845729.19,6020,,KR7139130009,B68N347,0
GRUPO TMM S.A.B,025365,2018Q1,2117.0752,4119.7671,1862.8669,2216.7329,4400,386.836,MX01TM000005,2828460,0
MAGIC SOFTWARE ENTERPRISES,025367,2018Q1,92.365013,340.41101,101.536,208.918,7372,69.725998,IL0010823123,6328074,0
MUCKLOW (A&J) GROUP PLC,025371,2018Q1,,413.20001,94.300003,15.8,6798,,GB0006091408,0609140,0
FERRARI NV,025466,2018Q1,-359.38892,4360.6851,3462.572,2.5039999,3711,831.00403,NL0011585146,BD6G507,0
KRUNG THAI BANK PCL,025607,2018Q1,296065.66,2887500.8,2587650.5,71976.719,6020,,TH0150010Z03,6492827,0
SIAM COMMERCIAL BANK,025608,2018Q1,354125.16,3055486.8,2682176.8,33991.922,6020,,TH0015010000,6889924,0
BANGKOK BANK PCL,025609,2018Q1,404688.66,3173915.5,2768225.3,19088.43,6020,,TH0001010006,6077008,0
BANK OF AYUDHYA LTD,025610,2018Q1,215531.31,2160228.3,1928136.3,73557.617,6020,,TH0023010000,6075938,0
SHINHAN FINANCIAL GROUP LTD,025714,2018Q1,28864234,433688096,400533760,2370998,6020,,KR7055550008,6397502,0
BANCO LATINOAMERICANO DE COM,025751,2018Q1,1041.6208,5875.0449,4828.3091,279.98001,6020,,PAP169941328,B1P17T2,0
COMPANIA CERVECERIAS UNIDAS,025753,2018Q1,1029485.8,1960857,761653.94,562693.38,2082,472163.09,CLP249051044,2196189,0
CREATIVE TECHNOLOGY LTD,025773,2018Q1,,135.55,37.903999,266.75299,3577,16.107,SG1A98006814,6207582,0
TRINITY BIOTECH PLC,025850,2018Q1,-.69700623,194.67999,128.903,1.224,2835,23.799,IE0006765089,0676508,0
TELEBRAS-TELECOM BRASILEIRAS,025903,2018Q1,508.31308,3465.26,2938.1389,1594.667,9995,30.558001,BRTELBACNPR9,2879888,0
GRUPO SUPERVIELLE,026792,2018Q1,15060.277,96569.648,81310.461,456.72198,6020,,ARGRSU300079,BZ6TQ96,0
ENEL CHILE SA,027141,2018Q1,2956424.5,6578234,2681393.8,2229109,4911,550357.06,CL0002266774,BYMLZD6,0
CARTERA INDUSTRIAL REA SA,027831,2018Q1,,36.078999,10.96,14.689,6799,,ES0162292017,4578097,0
KASIKORNBANK PCL,027833,2018Q1,376495.28,2994484.8,2593729.8,23932.602,6020,,TH0016010009,6888783,0
AMARIN CORP,028027,2018Q1,-24.620998,215.709,232.366,225.246,2834,43.918999,GB00B29VL935,B29VL93,0
GILAT SATELLITE NETWORKS LTD,028236,2018Q1,174.55499,371.29599,148.864,2.6040001,3663,67.374001,IL0010825102,B01BZ39,0
NATUZZI SPA,028262,2018Q1,,316.10001,212.5,54.900002,2510,117.8,,,0
ASTRAZENECA PLC,028272,2018Q1,-23111,63281,48708,317,2834,4985,GB0009895292,0989529,0
PGS-PETROLEUM GEO-SERVICES,028286,2018Q1,-25.500061,2501.8999,1734.7,138.5,1382,201.3,NO0010199151,B1L7YL5,0
INVEXANS SA,028334,2018Q1,,547.32703,25.490999,719.48199,3350,,CL0002004266,BCZP0Z8,0
SAPIENS INTERNATIONAL CORP,028384,2018Q1,-34.918991,383.927,176.784,205.78999,7372,70.995003,ANN7716A1513,6687849,0
MAGAL SECURITY SYSTEMS,028385,2018Q1,65.897003,109.874,27.546,6.717,3669,17.254999,IL0010829161,6371852,0
SUBSEA 7 SA,028456,2018Q1,5216.6001,7825.8999,1813,654.70001,1389,809.20001,LU0075646355,5258246,0
YACIMIENTOS PETE FISCALES SA,028520,2018Q1,161123,552259,380474,3924,2911,75823,ARP9897X1319,2983035,0
GRUPO SIMEC SA DE CV,028535,2018Q1,31587.105,45151.637,11106.586,2420.23,3312,7949.4028,MXP4984U1083,2375546,0
GRUPO RADIO CENTRO SA DE CV,028541,2018Q1,5.4138184,5985.1318,2849.4021,1922.3311,4832,312.20999,MXP680051218,2393377,0
GABETTI PROPERTY SOLUTIONS,028570,2018Q1,1.447998,34.869999,23.336,11.503,6500,,IT0005023038,BMPH087,0
SINOPEC SHANGHAI PETROCHEM,028653,2018Q1,29975.092,42269.633,11901.314,10823.814,2911,25759.521,CNE1000004C8,6797458,0
CREDIT SUISSE GROUP,028838,2018Q1,37968,809052,766355,102,6211,,CH0012138530,7171589,0
NH HOTEL GROUP SA,028839,2018Q1,917.89996,2549.2,1368.1,1181.1,7011,338,ES0161560018,4571784,0
COCA-COLA FEMSA SAB DE CV,028844,2018Q1,9412.4297,275759.06,146813.44,933.57501,2086,49712.867,MXP2861W1067,2141899,0
SOC QUIMICA Y MINERA DE CHI,028883,2018Q1,2103.3928,4323.6108,2070.6379,477.38599,2810,518.724,CLP8716X1082,2718301,0
PROMOTORA Y OPERADORA INFRAE,028888,2018Q1,23846.123,50503.988,7088.0308,802.54602,1600,2340.3279,MX01PI000005,2393388,0
HILAN LTD,028923,2018Q1,3.8269653,902.69098,605.80103,28.388,2711,366.50699,IL0010846983,6267230,0
ENEL AMERICAS SA,029039,2018Q1,4134.4248,20700.352,12168.964,6763.2041,4911,2613.022,CLP371861061,2299453,0
TELECOM ARGENTINA,029194,2018Q1,23291,223134,93882,2154,4812,30698,ARP9028N1016,2880040,0
BBVA BANCO FRANCES SA,029286,2018Q1,31721.26,224274.44,192104.23,612.65997,6020,,ARP125991090,2074371,0
GRUPO MEXICANO DESARROLLO,029400,2018Q1,661.40405,8688.2803,4399.4521,1617.061,1600,934.52399,MX01GM080002,B2NSZK9,0
SHANGHAI SHIBEI HI TECH CO,029530,2018Q1,6117.374,11973.319,5855.6748,1873.3048,3550,126.9905,CNE000000362,6803162,0
CRISTALCHILE-CRISTALER CHILE,029622,2018Q1,308475.53,515755.59,195211.38,81020,3221,56621.742,CLP331961092,2232890,0
CARBOCLOR SA,029792,2018Q1,-341.95709,227.3988,569.20801,586.72681,2860,35.656799,ARP8723U1058,2791670,0
GRUPO TELEVISA SAB,029850,2018Q1,56553.82,289406.31,188090.3,2494.4099,4888,22812.004,MXP4987V1378,2380108,0
MILLICOM INTL CELLULAR SA,030024,2018Q1,2089,9601,6208,153,4812,1042,SE0001174970,B00L2M8,0
SILICOM LTD,030030,2018Q1,113.37199,164.26199,24.423,52.409,3576,29.521999,IL0010826928,B0WFWL7,0
TDC A/S,030112,2018Q1,-6522,62529,36374,812,4813,5096,DK0060228559,5698790,0
BANCO SANTANDER-CHILE,030218,2018Q1,3150012,36433864,33221394,891303,6020,,CLP1506A1070,2000257,0
MANILA ELECTRIC CO,030282,2018Q1,67496,317924,248178,11273,4911,70807,PHY5764J1483,B247XZ6,0
CA IMMOBILIEN ANLAGEN AG,030390,2018Q1,2435.5889,4919.8179,2477.801,718.33698,6510,,AT0000641352,5681046,0
EMBOTELLADORA ANDINA SA,030436,2018Q1,77542.25,2039515.1,1211195.4,270737.56,2086,475891.41,CLP3697S1034,2311454,0
BRADESCO BANCO,030452,2018Q1,104001.18,1231409.1,1117034.1,67100,6020,,BRBBDCACNPR8,B00FM53,0
GRUPO KUO SAB DE CV,030462,2018Q1,9659.0811,32755.158,21212.271,2727.5339,9997,6369.2852,MX01KU000012,B0SL8F5,0
BIO PAPPEL SAB DE CV,030466,2018Q1,,27954.416,15407.838,5346.3042,2631,5720.5679,MX01PA0B0014,B0ZNPL9,0
AES GENER SA,030471,2018Q1,2788.7388,8253.3477,5412.0869,2052.0759,4911,655.90002,CL0001880955,B83J214,0
KB FINANCIAL GROUP,030501,2018Q1,30741196,451617856,417987360,2090558,6020,,KR7105560007,B3DF0Y6,0
LANDESBANK HESSEN,030521,2018Q1,,166300,158400,7900,6020,,,,0
CHANDRA ASRI PETROCHEMICAL,030531,2018Q1,,2967.5371,1224.7729,380.94699,2821,695.27698,ID1000090301,B39NJF8,0
ENEL GENERACION CHILE SA,030538,2018Q1,2028452.8,3525107.5,1454187.8,552777.31,4911,339799.91,CLP3710M1090,2299356,0
BANK HAPOALIM B M,030579,2018Q1,,448195,411979,1333.0649,6020,,IL0006625771,6075808,0
ITAU UNIBANCO HLDG SA,030580,2018Q1,117044,1441407,1305018,97148,6020,,BRITUBACNPR1,B037HR3,0
BANCO DO BRASIL,030581,2018Q1,94595.078,1422830.3,1321603.5,67000,6020,,BRBBASACNOR3,2328595,0
NATIONAL BANK OF GREECE,030582,2018Q1,5721,61554,55702,2744,6020,,GRS003003027,BZ1NMH3,0
ARAB BANKING CORP,030583,2018Q1,156.51857,1170.0115,1013.0531,110,6020,,JO1100911014,6046956,0
HUANENG POWER INTERNATIONAL,030747,2018Q1,68796.023,382591.88,288245.47,15200.384,4911,43255.633,CNE1000006Z4,6099671,0
CENTRAL EUROPEAN MEDIA,030778,2018Q1,-778.849,1649.926,1369.199,11.858,4833,139.18201,BMG200452024,B0BK183,0
FIBRIA CELULOSE SA,030806,2018Q1,10688.926,38133.145,22858.025,9740.7773,2611,3693.167,BRFIBRACNOR9,B04M7D3,0
INDOSAT TBK,030821,2018Q1,13124402,50024548,35314080,543393,4812,5692420,ID1000097405,B00FYK2,0
TRANSPORTADORA DE GAS SUR,030838,2018Q1,,16435.711,9381.1797,794.495,4922,4947.355,ARP9308R1039,2886651,0
KEPCO-KOREA ELEC POWER CORP,030874,2018Q1,71105400,184024560,111826512,3209820,4911,15706044,KR7015760002,6495730,0
TECHNIPFMC PLC,030923,2018Q1,2968.001,28527.801,15246,462.20001,1389,3125.2,,,0
AFP PROVIDA SA,030986,2018Q1,431449.81,1320087.3,63968.074,986432.19,6199,,CLP7919K1035,2694735,0
METROGAS SA,031010,2018Q1,8370.0234,21072.553,12484.136,569.17102,4924,3752.438,ARP6558L1178,2573492,0
SKY PLC,031137,2018Q1,-5543,18748,14698,860,4841,3368.5,GB0001411924,0141192,0
STMICROELECTRONICS NV,031142,2018Q1,5439,10068,4299,1157,3674,2214,NL0000226223,5962343,0
FIRST FINANCIAL HOLDING CO,031160,2018Q1,201381.8,2655474.3,2453695.5,122163.93,6020,,TW0002892007,6580119,0
TMB BANK PCL,031161,2018Q1,89985.344,828955.88,736830.69,41647.867,6020,,TH0068010Z07,6887876,0
FOMENTO ECONOMICO MEXICANO,031205,2018Q1,164277.16,571070.5,258561.19,3347.8379,2086,115337.29,MXP320321310,2242059,0
GRUPO CEMENTOS DE CHIHUAHUA,031207,2018Q1,510.147,1918.004,960.77002,10.877,3270,188.74899,MX01GC2M0006,2946663,0
TOWER SEMICONDUCTOR LTD,031255,2018Q1,1042.2761,1719.524,651.76898,1067.755,3674,312.70999,IL0010823792,6320605,0
EURO RESSOURCES SA,031609,2018Q1,33.177002,41.831001,.41,.625,1000,5.6129999,FR0000054678,5147311,0
